file,categoria,data_documento,numero_documento,importo_totale,email,iban,iban_valido,quasi_duplicato_di
doc_0040.pdf,fattura,2026-06-10,FT-2026-57655,1019.59,francesca.russo@gammaenergia.example,,,
doc_0041.pdf,assistenza,2026-01-24,TCK-127576,,francesca.russo@gammaenergia.example,,,
doc_0042.pdf,fattura,2025-09-19,FT-2025-15432,3235.38,marta.de.luca@omegatrasporti.example,,,
doc_0043.pdf,fattura,2026-02-18,FT-2026-97819,9677.09,sara.gallo@omegatrasporti.example,,,
doc_0044.pdf,fattura,2026-05-30,FT-2026-56334,1559.03,stefano.bruno@betalogistica.example,,,
doc_0045.pdf,contratto,2025-09-21,CTR-2025-9637,,sara.gallo@sigmaconsulting.example,,,
doc_0046.pdf,fattura,2025-06-13,FT-2025-16060,3070.89,francesca.russo@deltaassicurazioni.example,,,
doc_0047.pdf,reclamo,2025-06-16,REC-2025-0453,,giulia.bianchi@sigmaconsulting.example,,,
doc_0048.pdf,assistenza,2025-07-13,TCK-132458,,stefano.bruno@sigmaconsulting.example,,,
doc_0049.pdf,contratto,2025-04-17,CTR-2025-4418,,francesca.russo@omegatrasporti.example,,,
doc_0050.pdf,reclamo,2026-08-14,REC-2026-9025,,giulia.bianchi@betalogistica.example,,,
doc_0051.pdf,reclamo,2025-12-19,REC-2025-5864,,giulia.bianchi@sigmaconsulting.example,,,
doc_0052.pdf,contratto,2026-05-22,CTR-2026-1812,,mario.rossi@betalogistica.example,,,
doc_0053.pdf,reclamo,2026-07-07,REC-2026-6539,,chiara.greco@omegatrasporti.example,,,
doc_0054.pdf,reclamo,2026-08-06,REC-2026-2690,,marta.de.luca@omegatrasporti.example,,,
doc_0055.pdf,candidatura,2025-02-04,HR-2025-515,,chiara.greco@omegatrasporti.example,,,
doc_0056.pdf,contratto,2026-07-17,CTR-2026-3847,,elena.ricci@sigmaconsulting.example,,,
doc_0057.pdf,candidatura,2026-04-26,HR-2026-533,,stefano.bruno@sigmaconsulting.example,,,
doc_0058.pdf,reclamo,2026-03-12,REC-2026-5388,,paolo.colombo@betalogistica.example,,,
doc_0059.pdf,reclamo,2025-10-17,REC-2025-2618,,stefano.bruno@omegatrasporti.example,,,
doc_0060.pdf,contratto,2026-05-23,CTR-2026-0384,,stefano.bruno@gammaenergia.example,,,
doc_0061.pdf,fattura,2026-04-01,FT-2026-53144,6510.91,davide.conti@deltaassicurazioni.example,,,
doc_0062.pdf,assistenza,2026-03-30,TCK-166537,,chiara.greco@betalogistica.example,,,
doc_0063.pdf,reclamo,2026-03-07,REC-2026-8409,,chiara.greco@sigmaconsulting.example,,,
doc_0064.pdf,fattura,2025-08-25,FT-2025-34100,4276.19,luca.ferrari@alfasistemi.example,,,
doc_0065.pdf,reclamo,2025-03-14,REC-2025-9788,,paolo.colombo@omegatrasporti.example,,,
doc_0066.pdf,reclamo,2025-07-23,REC-2025-0842,,marta.de.luca@gammaenergia.example,,,
doc_0067.pdf,reclamo,2025-03-09,REC-2025-5083,,francesca.russo@alfasistemi.example,,,
doc_0068.pdf,fattura,2025-10-14,FT-2025-68303,2013.99,francesca.russo@omegatrasporti.example,,,
doc_0069.pdf,fattura,2025-07-09,FT-2025-87842,3065.55,elena.ricci@betalogistica.example,IT86V8493909358698400899699,True,
doc_0070.pdf,fattura,2026-06-29,FT-2026-86276,4456.51,paolo.colombo@alfasistemi.example,IT33A7417789889819386609179,True,
doc_0071.pdf,contratto,2025-08-04,CTR-2025-5693,,andrea.marino@gammaenergia.example,,,
doc_0072.pdf,fattura,2025-06-24,FT-2025-38271,6096.41,elena.ricci@sigmaconsulting.example,,,
doc_0073.pdf,fattura,2026-03-06,FT-2026-25049,3272.14,mario.rossi@sigmaconsulting.example,,,
doc_0074.pdf,candidatura,2026-06-19,HR-2026-873,,marta.de.luca@deltaassicurazioni.example,,,
doc_0075.pdf,fattura,2026-07-15,FT-2026-51789,9059.45,chiara.greco@deltaassicurazioni.example,IT53A6212620489242809305197,False,
doc_0076.pdf,fattura,2026-01-08,FT-2026-23406,6451.63,giulia.bianchi@gammaenergia.example,,,
doc_0077.pdf,assistenza,2026-07-21,TCK-163886,,elena.ricci@deltaassicurazioni.example,,,doc_0151.pdf
doc_0078.pdf,fattura,2025-11-23,FT-2025-77581,6313.76,andrea.marino@alfasistemi.example,,,
doc_0079.pdf,candidatura,2025-09-08,HR-2025-352,,francesca.russo@deltaassicurazioni.example,,,
doc_0080.pdf,reclamo,2026-02-18,REC-2026-4624,,chiara.greco@alfasistemi.example,,,
doc_0081.pdf,assistenza,2026-04-29,TCK-107343,,andrea.marino@sigmaconsulting.example,,,
doc_0082.pdf,assistenza,2026-05-27,TCK-109338,,francesca.russo@betalogistica.example,,,
doc_0083.pdf,assistenza,2025-02-25,TCK-114684,,luca.ferrari@gammaenergia.example,,,
doc_0084.pdf,fattura,2025-06-23,FT-2025-63274,7789.54,sara.gallo@omegatrasporti.example,,,
doc_0085.pdf,contratto,2025-09-02,CTR-2025-4874,,chiara.greco@sigmaconsulting.example,,,
doc_0086.pdf,fattura,2025-04-25,FT-2025-52551,927.2,stefano.bruno@alfasistemi.example,,,
doc_0087.pdf,assistenza,2026-05-13,TCK-179964,,giulia.bianchi@omegatrasporti.example,,,
doc_0088.pdf,assistenza,2026-07-18,TCK-189750,,andrea.marino@gammaenergia.example,,,
doc_0089.pdf,assistenza,2025-04-22,TCK-198958,,luca.ferrari@omegatrasporti.example,,,
doc_0090.pdf,assistenza,2026-01-12,TCK-170005,,luca.ferrari@sigmaconsulting.example,,,
doc_0091.pdf,reclamo,2025-05-15,REC-2025-6608,,sara.gallo@alfasistemi.example,,,
doc_0092.pdf,fattura,2026-05-25,FT-2026-60605,7446.87,mario.rossi@omegatrasporti.example,IT55J9480102853280873461000,True,
doc_0093.pdf,assistenza,2025-08-29,TCK-104407,,marta.de.luca@omegatrasporti.example,,,
doc_0094.pdf,contratto,2025-03-28,CTR-2025-3617,,mario.rossi@betalogistica.example,,,
doc_0095.pdf,reclamo,2026-08-08,REC-2026-6148,,davide.conti@omegatrasporti.example,IT34U0283824223898256702381,True,
doc_0096.pdf,fattura,2025-02-24,FT-2025-37499,9549.14,sara.gallo@alfasistemi.example,,,
doc_0097.pdf,fattura,2026-01-30,FT-2026-84887,1791.64,stefano.bruno@betalogistica.example,,,
doc_0098.pdf,reclamo,2026-06-29,REC-2026-5228,,stefano.bruno@sigmaconsulting.example,,,
doc_0099.pdf,contratto,2026-03-22,CTR-2026-9546,,sara.gallo@omegatrasporti.example,,,
doc_0100.pdf,reclamo,2026-01-31,REC-2026-2432,,giulia.bianchi@deltaassicurazioni.example,,,
doc_0101.pdf,fattura,2025-07-30,FT-2025-57985,9468.02,sara.gallo@sigmaconsulting.example,,,
doc_0102.pdf,reclamo,2026-02-26,REC-2026-6729,,elena.ricci@gammaenergia.example,,,
doc_0103.pdf,contratto,2026-01-27,CTR-2026-0403,,marta.de.luca@gammaenergia.example,,,
doc_0104.pdf,reclamo,2025-10-01,REC-2025-5743,,marta.de.luca@betalogistica.example,,,
doc_0105.pdf,fattura,2026-05-06,FT-2026-46935,969.9,sara.gallo@omegatrasporti.example,IT87W4166268864572020362143,False,
doc_0106.pdf,fattura,2025-06-11,FT-2025-67700,5966.43,andrea.marino@gammaenergia.example,IT14W3451732539100018147175,True,
doc_0107.pdf,assistenza,2025-10-09,TCK-133203,,stefano.bruno@alfasistemi.example,,,
doc_0108.pdf,contratto,2026-01-28,CTR-2026-2540,,giulia.bianchi@gammaenergia.example,,,
doc_0109.pdf,fattura,2025-01-01,FT-2025-51328,9368.62,marta.de.luca@omegatrasporti.example,IT19Y7438104244662206998783,True,
doc_0110.pdf,assistenza,2025-11-11,TCK-168119,,sara.gallo@deltaassicurazioni.example,,,
doc_0111.pdf,assistenza,2026-07-26,TCK-125293,,chiara.greco@sigmaconsulting.example,,,
doc_0112.pdf,assistenza,2026-01-30,TCK-102584,,elena.ricci@betalogistica.example,,,
doc_0113.pdf,fattura,2026-04-15,FT-2026-18773,3598.99,sara.gallo@deltaassicurazioni.example,,,
doc_0114.pdf,contratto,2025-02-08,CTR-2025-1763,,mario.rossi@sigmaconsulting.example,,,
doc_0115.pdf,fattura,2026-04-25,FT-2026-77813,1360.46,elena.ricci@omegatrasporti.example,,,
doc_0116.pdf,fattura,2025-12-02,FT-2025-10804,4197.8,elena.ricci@gammaenergia.example,,,
doc_0117.pdf,fattura,2025-09-26,FT-2025-22773,2264.27,sara.gallo@alfasistemi.example,,,
doc_0118.pdf,reclamo,2026-04-08,REC-2026-2441,,mario.rossi@omegatrasporti.example,,,
doc_0119.pdf,assistenza,2025-09-01,TCK-174648,,giulia.bianchi@gammaenergia.example,,,
doc_0120.pdf,reclamo,2026-02-14,REC-2026-8988,,sara.gallo@deltaassicurazioni.example,IT78Z7578118242844748432130,True,
doc_0121.pdf,assistenza,2026-03-29,TCK-122448,,paolo.colombo@omegatrasporti.example,,,
doc_0122.pdf,fattura,2026-08-18,FT-2026-19112,3319.02,andrea.marino@gammaenergia.example,IT60J9360310358719159529356,True,doc_0280.pdf
doc_0123.pdf,assistenza,2026-07-30,TCK-121049,,paolo.colombo@sigmaconsulting.example,,,
doc_0124.pdf,fattura,2026-04-14,FT-2026-04630,6477.91,andrea.marino@sigmaconsulting.example,,,
doc_0125.pdf,reclamo,2026-05-04,REC-2026-8872,,marta.de.luca@deltaassicurazioni.example,,,
doc_0126.pdf,contratto,2026-05-03,CTR-2026-4680,,paolo.colombo@omegatrasporti.example,,,
doc_0127.pdf,assistenza,2026-08-07,TCK-178012,,giulia.bianchi@gammaenergia.example,,,
doc_0128.pdf,contratto,2025-02-09,CTR-2025-5019,,elena.ricci@gammaenergia.example,,,
doc_0129.pdf,contratto,2025-03-24,CTR-2025-4773,,chiara.greco@gammaenergia.example,,,
doc_0130.pdf,contratto,2026-07-20,CTR-2026-0006,,davide.conti@omegatrasporti.example,,,
doc_0131.pdf,candidatura,2025-12-03,HR-2025-137,,elena.ricci@gammaenergia.example,,,
doc_0132.pdf,assistenza,2025-10-04,TCK-132551,,mario.rossi@sigmaconsulting.example,,,
doc_0133.pdf,fattura,2026-02-15,FT-2026-38201,8117.44,andrea.marino@gammaenergia.example,IT61U6435775481269646526717,True,
doc_0134.pdf,contratto,2025-03-12,CTR-2025-5800,,chiara.greco@betalogistica.example,,,
doc_0135.pdf,reclamo,2025-07-30,REC-2025-0906,,giulia.bianchi@deltaassicurazioni.example,,,
doc_0136.pdf,assistenza,2025-03-03,TCK-108746,,paolo.colombo@deltaassicurazioni.example,,,
doc_0137.pdf,reclamo,2025-09-14,REC-2025-5543,,andrea.marino@deltaassicurazioni.example,,,
doc_0138.pdf,assistenza,2025-01-18,TCK-190881,,andrea.marino@gammaenergia.example,,,
doc_0139.pdf,contratto,2026-07-26,CTR-2026-1281,,andrea.marino@deltaassicurazioni.example,,,
doc_0140.pdf,reclamo,2026-05-19,REC-2026-8720,,marta.de.luca@alfasistemi.example,,,
doc_0141.pdf,assistenza,2025-02-27,TCK-162183,,luca.ferrari@sigmaconsulting.example,,,
doc_0142.pdf,assistenza,2026-01-01,TCK-188225,,andrea.marino@sigmaconsulting.example,,,
doc_0143.pdf,reclamo,2025-07-25,REC-2025-8693,,sara.gallo@alfasistemi.example,,,
doc_0144.pdf,fattura,2025-07-09,FT-2025-24456,4996.03,andrea.marino@gammaenergia.example,IT33I5763760956245944433737,True,
doc_0145.pdf,reclamo,2026-02-21,REC-2026-8451,,andrea.marino@gammaenergia.example,,,
doc_0146.pdf,assistenza,2026-06-23,TCK-189506,,elena.ricci@omegatrasporti.example,,,
doc_0147.pdf,reclamo,2025-02-26,REC-2025-6532,,giulia.bianchi@alfasistemi.example,,,
doc_0148.pdf,candidatura,2026-01-28,HR-2026-182,,stefano.bruno@omegatrasporti.example,,,
doc_0149.pdf,fattura,2025-03-12,FT-2025-22350,3731.55,davide.conti@sigmaconsulting.example,,,
doc_0150.pdf,fattura,2026-07-06,FT-2026-68698,3830.6,stefano.bruno@omegatrasporti.example,,,
doc_0151.pdf,assistenza,2026-07-21,TCK-163899,,elena.ricci@deltaassicurazioni.example,,,
doc_0152.pdf,candidatura,2026-02-16,HR-2026-152,,davide.conti@deltaassicurazioni.example,,,
doc_0153.pdf,fattura,2025-12-23,FT-2025-78698,8880.28,paolo.colombo@sigmaconsulting.example,,,
doc_0154.pdf,assistenza,2025-08-27,TCK-117815,,giulia.bianchi@omegatrasporti.example,,,
doc_0155.pdf,assistenza,2026-06-26,TCK-106871,,paolo.colombo@deltaassicurazioni.example,,,
doc_0156.pdf,contratto,2025-12-09,CTR-2025-4339,,luca.ferrari@gammaenergia.example,,,
doc_0157.pdf,fattura,2025-01-27,FT-2025-22350,5843.14,sara.gallo@deltaassicurazioni.example,IT39X8123049832902577823996,True,
doc_0158.pdf,assistenza,2026-04-14,TCK-101559,,sara.gallo@sigmaconsulting.example,,,
doc_0159.pdf,fattura,2025-09-22,FT-2025-29216,5758.27,paolo.colombo@deltaassicurazioni.example,,,
doc_0160.pdf,assistenza,2026-06-28,TCK-153020,,elena.ricci@sigmaconsulting.example,,,
doc_0161.pdf,contratto,2025-03-16,CTR-2025-8773,,paolo.colombo@omegatrasporti.example,,,
doc_0162.pdf,contratto,2025-07-09,CTR-2025-3496,,mario.rossi@omegatrasporti.example,,,
doc_0163.pdf,assistenza,2026-06-15,TCK-192696,,giulia.bianchi@betalogistica.example,,,
doc_0164.pdf,reclamo,2025-03-05,REC-2025-6610,,paolo.colombo@omegatrasporti.example,,,
doc_0165.pdf,fattura,2026-08-02,FT-2026-70485,9131.0,giulia.bianchi@betalogistica.example,,,
doc_0166.pdf,fattura,2026-07-26,FT-2026-54100,6688.45,luca.ferrari@betalogistica.example,,,
doc_0167.pdf,reclamo,2025-04-11,REC-2025-1198,,marta.de.luca@sigmaconsulting.example,,,
doc_0168.pdf,fattura,2026-04-05,FT-2026-88126,3013.56,davide.conti@sigmaconsulting.example,,,
doc_0169.pdf,candidatura,2025-07-08,HR-2025-641,,elena.ricci@deltaassicurazioni.example,,,
doc_0170.pdf,fattura,2025-05-15,FT-2025-07926,10425.9,francesca.russo@alfasistemi.example,,,
doc_0171.pdf,fattura,2026-07-12,FT-2026-13887,296.89,elena.ricci@deltaassicurazioni.example,,,
doc_0172.pdf,fattura,2026-05-12,FT-2026-20970,10470.27,marta.de.luca@sigmaconsulting.example,IT13E7963588978484392046519,False,
doc_0173.pdf,assistenza,2025-04-29,TCK-124833,,stefano.bruno@deltaassicurazioni.example,,,
doc_0174.pdf,reclamo,2026-02-27,REC-2026-5056,,luca.ferrari@alfasistemi.example,,,
doc_0175.pdf,assistenza,2025-10-15,TCK-133794,,francesca.russo@deltaassicurazioni.example,,,
doc_0176.pdf,candidatura,2026-05-15,HR-2026-386,,luca.ferrari@sigmaconsulting.example,,,
doc_0177.pdf,assistenza,2026-02-20,TCK-170571,,mario.rossi@alfasistemi.example,,,
doc_0178.pdf,contratto,2026-05-19,CTR-2026-3094,,andrea.marino@deltaassicurazioni.example,,,
doc_0179.pdf,contratto,2025-05-01,CTR-2025-6804,,giulia.bianchi@gammaenergia.example,,,
doc_0180.pdf,fattura,2026-04-11,FT-2026-96106,9437.8,francesca.russo@omegatrasporti.example,,,
doc_0181.pdf,contratto,2025-01-14,CTR-2025-5172,,stefano.bruno@omegatrasporti.example,,,
doc_0182.pdf,assistenza,2025-04-30,TCK-165420,,andrea.marino@sigmaconsulting.example,,,
doc_0183.pdf,fattura,2026-01-16,FT-2026-50203,1664.74,giulia.bianchi@gammaenergia.example,,,
doc_0184.pdf,assistenza,2026-07-07,TCK-142905,,stefano.bruno@gammaenergia.example,,,
doc_0185.pdf,fattura,2025-07-10,FT-2025-35228,8096.51,luca.ferrari@sigmaconsulting.example,,,
doc_0186.pdf,candidatura,2026-03-17,HR-2026-049,,luca.ferrari@alfasistemi.example,,,
doc_0187.pdf,assistenza,2026-08-24,TCK-172919,,stefano.bruno@omegatrasporti.example,,,
doc_0188.pdf,candidatura,2026-08-22,HR-2026-306,,sara.gallo@gammaenergia.example,,,
doc_0189.pdf,contratto,2026-07-16,CTR-2026-3201,,luca.ferrari@betalogistica.example,,,
doc_0190.pdf,contratto,2026-05-24,CTR-2026-9260,,sara.gallo@omegatrasporti.example,,,
doc_0191.pdf,reclamo,2026-08-21,REC-2026-7145,,davide.conti@sigmaconsulting.example,,,
doc_0192.pdf,fattura,2025-06-25,FT-2025-66133,7159.23,marta.de.luca@alfasistemi.example,IT92B3247292749577412919889,True,
doc_0193.pdf,reclamo,2025-10-22,REC-2025-4409,,sara.gallo@alfasistemi.example,,,
doc_0194.pdf,fattura,2025-04-26,FT-2025-18921,8882.97,paolo.colombo@sigmaconsulting.example,,,
doc_0195.pdf,fattura,2026-01-20,FT-2026-52803,5750.08,davide.conti@alfasistemi.example,,,
doc_0196.pdf,fattura,2026-04-08,FT-2026-69353,2897.51,sara.gallo@deltaassicurazioni.example,,,
doc_0197.pdf,assistenza,2026-04-10,TCK-184333,,giulia.bianchi@omegatrasporti.example,,,
doc_0198.pdf,candidatura,2025-02-13,HR-2025-597,,luca.ferrari@betalogistica.example,,,
doc_0199.pdf,candidatura,2025-09-18,HR-2025-722,,sara.gallo@omegatrasporti.example,,,
doc_0200.pdf,assistenza,2026-01-17,TCK-118513,,giulia.bianchi@gammaenergia.example,,,
doc_0201.pdf,candidatura,2025-12-23,HR-2025-529,,marta.de.luca@sigmaconsulting.example,,,
doc_0202.pdf,assistenza,2026-04-24,TCK-196776,,marta.de.luca@sigmaconsulting.example,,,
doc_0203.pdf,contratto,2026-01-29,CTR-2026-0855,,luca.ferrari@deltaassicurazioni.example,,,
doc_0204.pdf,reclamo,2025-01-27,REC-2025-3375,,sara.gallo@omegatrasporti.example,,,
doc_0205.pdf,fattura,2026-04-30,FT-2026-61538,8406.31,giulia.bianchi@sigmaconsulting.example,IT09K2662448589453315555921,False,
doc_0206.pdf,reclamo,2025-01-27,REC-2025-8810,,andrea.marino@deltaassicurazioni.example,,,
doc_0207.pdf,assistenza,2025-06-05,TCK-168593,,mario.rossi@alfasistemi.example,,,
doc_0208.pdf,fattura,2025-04-10,FT-2025-59068,3728.15,elena.ricci@deltaassicurazioni.example,IT46V4006590892170012715318,True,
doc_0209.pdf,contratto,2026-06-06,CTR-2026-8555,,davide.conti@betalogistica.example,,,
doc_0210.pdf,fattura,2026-07-27,FT-2026-07862,6515.07,luca.ferrari@omegatrasporti.example,,,
doc_0211.pdf,candidatura,2026-04-05,HR-2026-892,,giulia.bianchi@gammaenergia.example,,,
doc_0212.pdf,assistenza,2025-12-29,TCK-179258,,giulia.bianchi@alfasistemi.example,,,
doc_0213.pdf,fattura,2025-08-14,FT-2025-55726,1288.8,stefano.bruno@betalogistica.example,,,
doc_0214.pdf,fattura,2026-01-31,FT-2026-15329,2159.33,francesca.russo@gammaenergia.example,IT95W1852866954461229937700,True,
doc_0215.pdf,fattura,2025-09-22,FT-2025-20990,3756.7,luca.ferrari@omegatrasporti.example,,,
doc_0216.pdf,contratto,2025-04-15,CTR-2025-4862,,chiara.greco@betalogistica.example,,,
doc_0217.pdf,candidatura,2025-02-03,HR-2025-860,,paolo.colombo@betalogistica.example,,,
doc_0218.pdf,candidatura,2025-07-26,HR-2025-077,,sara.gallo@sigmaconsulting.example,,,
doc_0219.pdf,fattura,2026-01-08,FT-2026-23487,6451.63,giulia.bianchi@gammaenergia.example,,,doc_0076.pdf
doc_0220.pdf,assistenza,2025-11-16,TCK-194072,,marta.de.luca@alfasistemi.example,,,
doc_0221.pdf,assistenza,2025-10-12,TCK-119885,,paolo.colombo@betalogistica.example,,,
doc_0222.pdf,fattura,2025-08-23,FT-2025-13105,974.0,sara.gallo@omegatrasporti.example,,,
doc_0223.pdf,fattura,2025-08-31,FT-2025-22702,6673.53,luca.ferrari@sigmaconsulting.example,IT90A2932933081887376080060,True,
doc_0224.pdf,candidatura,2026-03-28,HR-2026-282,,mario.rossi@alfasistemi.example,,,
doc_0225.pdf,reclamo,2026-04-16,REC-2026-1103,,elena.ricci@gammaenergia.example,,,
doc_0226.pdf,fattura,2025-11-20,FT-2025-29818,8245.83,davide.conti@gammaenergia.example,IT91N1290399663775816039471,True,
doc_0227.pdf,assistenza,2026-07-31,TCK-150693,,sara.gallo@gammaenergia.example,,,
doc_0228.pdf,reclamo,2025-03-15,REC-2025-6394,,andrea.marino@omegatrasporti.example,,,
doc_0229.pdf,contratto,2025-08-16,CTR-2025-5083,,mario.rossi@omegatrasporti.example,,,
doc_0230.pdf,candidatura,2025-09-16,HR-2025-921,,giulia.bianchi@deltaassicurazioni.example,,,
doc_0231.pdf,fattura,2025-09-22,FT-2025-31636,7957.65,francesca.russo@alfasistemi.example,,,
doc_0232.pdf,candidatura,2025-11-27,HR-2025-277,,marta.de.luca@alfasistemi.example,,,
doc_0233.pdf,assistenza,2026-04-06,TCK-194349,,luca.ferrari@deltaassicurazioni.example,,,
doc_0234.pdf,reclamo,2026-02-04,REC-2026-2938,,davide.conti@omegatrasporti.example,,,
doc_0235.pdf,contratto,2026-06-06,CTR-2026-8598,,davide.conti@betalogistica.example,,,doc_0209.pdf
doc_0236.pdf,contratto,2025-11-22,CTR-2025-9657,,davide.conti@omegatrasporti.example,,,
doc_0237.pdf,assistenza,2025-06-12,TCK-157789,,sara.gallo@betalogistica.example,,,
doc_0238.pdf,reclamo,2026-06-22,REC-2026-1299,,elena.ricci@deltaassicurazioni.example,,,
doc_0239.pdf,reclamo,2025-07-13,REC-2025-1243,,marta.de.luca@alfasistemi.example,,,
doc_0240.pdf,fattura,2026-04-18,FT-2026-20632,4178.46,chiara.greco@gammaenergia.example,,,
doc_0241.pdf,candidatura,2026-04-19,HR-2026-691,,stefano.bruno@sigmaconsulting.example,,,
doc_0242.pdf,candidatura,2026-07-12,HR-2026-405,,stefano.bruno@alfasistemi.example,,,
doc_0243.pdf,fattura,2025-05-02,FT-2025-63654,5380.22,luca.ferrari@deltaassicurazioni.example,,,
doc_0244.pdf,fattura,2026-03-22,FT-2026-01550,7461.29,marta.de.luca@alfasistemi.example,,,
doc_0245.pdf,contratto,2025-04-04,CTR-2025-1938,,stefano.bruno@gammaenergia.example,,,
doc_0246.pdf,assistenza,2026-02-06,TCK-133808,,andrea.marino@gammaenergia.example,,,
doc_0247.pdf,candidatura,2025-08-29,HR-2025-627,,elena.ricci@alfasistemi.example,,,
doc_0248.pdf,candidatura,2026-04-22,HR-2026-686,,sara.gallo@omegatrasporti.example,,,
doc_0249.pdf,assistenza,2026-06-08,TCK-127216,,davide.conti@omegatrasporti.example,,,
doc_0250.pdf,reclamo,2025-04-29,REC-2025-4711,,paolo.colombo@deltaassicurazioni.example,,,
doc_0251.pdf,reclamo,2025-10-15,REC-2025-0199,,sara.gallo@betalogistica.example,,,
doc_0252.pdf,candidatura,2026-04-06,HR-2026-094,,francesca.russo@deltaassicurazioni.example,,,
doc_0253.pdf,reclamo,2026-07-01,REC-2026-5612,,paolo.colombo@omegatrasporti.example,,,
doc_0254.pdf,fattura,2025-10-19,FT-2025-47517,6156.14,stefano.bruno@betalogistica.example,IT59C5063966093839452880035,True,
doc_0255.pdf,candidatura,2026-07-20,HR-2026-699,,stefano.bruno@sigmaconsulting.example,,,
doc_0256.pdf,reclamo,2026-05-06,REC-2026-9833,,marta.de.luca@gammaenergia.example,,,
doc_0257.pdf,fattura,2025-11-20,FT-2025-31712,7941.13,stefano.bruno@omegatrasporti.example,IT03J5626100205389187643698,True,
